Word,Tag,Index,Polarity,Positive,Negative,Objective
repercussion,n,,objective,0.0,0.0,1.0
tea_cozie,n,,objective,0.0,0.0,1.0
gravel,v,,negative,0.0,0.75,0.25
splendour,n,,positive,1.0,0.0,0.0
intimate,a,,positive,1.0,0.0,0.0
fanlight,n,,objective,0.0,0.0,1.0
betterment,n,,positive,1.0,0.0,0.0
smuggle,v,,negative,0.0,1.0,0.0
thusly,r,,objective,0.0,0.0,1.0
autumn,n,,objective,0.0,0.0,1.0
sensible,a,,objective,0.0,0.0,1.0
henry_sweet,n,,objective,0.0,0.0,1.0
tempest,n,,negative,0.0,1.0,0.0
by-blow,n,,negative,0.0,1.0,0.0
haul,n,,objective,0.0,0.0,1.0
research_worker,n,,objective,0.0,0.0,1.0
winding-clothes,n,,objective,0.0,0.0,1.0
flat_solid,n,,objective,0.0,0.0,1.0
get_ahead,v,,positive,0.75,0.0,0.25
wedding,n,,objective,0.0,0.0,1.0
recoil,v,,objective,0.0,0.0,1.0
alleviate,v,,positive,1.0,0.0,0.0
circle,v,,objective,0.0,0.0,1.0
gingery,a,,objective,0.0,0.0,1.0
lucille_ball,n,,objective,0.0,0.0,1.0
genial,a,,positive,1.0,0.0,0.0
upright,n,,objective,0.0,0.0,1.0
recounting,n,,objective,0.0,0.0,1.0
wisdom,n,,positive,1.0,0.0,0.0
genuine,a,,objective,0.25,0.25,0.5
apprehensible,a,,positive,0.25,0.0,0.75
grampus,n,,objective,0.0,0.0,1.0
jussive_mood,n,,objective,0.0,0.0,1.0
booze,n,,objective,0.0,0.0,1.0
boost,v,,objective,0.0,0.0,1.0
big_cat,n,,objective,0.0,0.0,1.0
dollar_mark,n,,negative,0.0,0.25,0.75
tender,a,,negative,0.0,1.0,0.0
network,n,,objective,0.0,0.0,1.0
enmesh,v,,negative,0.0,0.5,0.5
korea,n,,objective,0.0,0.0,1.0
skillful,a,,positive,1.0,0.0,0.0
policy,n,,objective,0.0,0.0,1.0
chiefly,r,,objective,0.0,0.0,1.0
c,n,,objective,0.0,0.0,1.0
hombre,n,,objective,0.25,0.25,0.5
embolden,v,,positive,1.0,0.0,0.0
rescue,v,,positive,1.0,0.0,0.0
cheer,v,,positive,1.0,0.0,0.0
misrepresent,v,,negative,0.0,1.0,0.0
disdain,n,,negative,0.0,1.0,0.0
throne,n,,objective,0.0,0.0,1.0
united_arab_republic,n,,objective,0.0,0.0,1.0
somber,a,,negative,0.0,0.25,0.75
pass_on,v,,objective,0.0,0.0,1.0
zestfulness,n,,positive,1.0,0.0,0.0
cameroon,n,,objective,0.0,0.0,1.0
tale,n,,objective,0.0,0.0,1.0
stalwart,a,,positive,0.75,0.0,0.25
so,n,,objective,0.0,0.0,1.0
kick_upstairs,v,,positive,1.0,0.0,0.0
and_so,r,,objective,0.0,0.0,1.0
refinement,n,,positive,1.0,0.0,0.0
emphasize,v,,objective,0.13,0.13,0.74
fine-tune,v,,positive,1.0,0.0,0.0
net,n,,objective,0.0,0.0,1.0
inflammation,n,,objective,0.38,0.38,0.24
slaughterhouse,n,,objective,0.0,0.0,1.0
unenlightened,a,,negative,0.0,0.75,0.25
really,r,,objective,0.0,0.0,1.0
rag,n,,objective,0.0,0.0,1.0
loveless,a,,negative,0.0,1.0,0.0
tack,n,,objective,0.0,0.0,1.0
visualize,v,,objective,0.0,0.0,1.0
government_activity,n,,objective,0.0,0.0,1.0
anguish,v,,negative,0.0,1.0,0.0
valor,n,,positive,1.0,0.0,0.0
nescient,a,,negative,0.0,0.75,0.25
century,n,,objective,0.0,0.0,1.0
throw_away,v,,objective,0.13,0.13,0.74
prick,n,,negative,0.0,1.0,0.0
stock,n,,objective,0.0,0.0,1.0
win,v,,positive,0.75,0.0,0.25
commutation,n,,objective,0.0,0.0,1.0
flaw,n,,negative,0.0,1.0,0.0
discard,n,,negative,0.0,0.25,0.75
superannuated,a,,negative,0.0,0.25,0.75
actual,a,,objective,0.25,0.25,0.5
baleful,a,,negative,0.0,1.0,0.0
corporation,n,,objective,0.0,0.0,1.0
chest_of_drawers,n,,objective,0.0,0.0,1.0
orb,n,,objective,0.0,0.0,1.0
propitiation,n,,positive,0.75,0.0,0.25
empurpled,n,,objective,0.0,0.0,1.0
corn,v,,objective,0.0,0.0,1.0
distinctive,a,,objective,0.0,0.0,1.0
stephen_foster,n,,objective,0.0,0.0,1.0
rotten,a,,negative,0.0,1.0,0.0
sound,a,,positive,1.0,0.0,0.0
trigger_off,v,,objective,0.0,0.0,1.0
blood_line,n,,objective,0.0,0.0,1.0
cycle,n,,objective,0.0,0.0,1.0
proficient,a,,positive,1.0,0.0,0.0
spiritual,a,,objective,0.0,0.0,1.0
cubicle,n,,objective,0.0,0.0,1.0
gallantry,n,,positive,1.0,0.0,0.0
fling,v,,objective,0.13,0.13,0.74
horrifying,a,,negative,0.0,1.0,0.0
blaze,n,,negative,0.0,1.0,0.0
picture,v,,objective,0.0,0.0,1.0
ring,v,,objective,0.0,0.0,1.0
coitus,n,,objective,0.0,0.0,1.0
federal_official,n,,objective,0.0,0.0,1.0
forsake,v,,negative,0.0,1.0,0.0
electric_discharge,n,,objective,0.0,0.0,1.0
improvement,n,,positive,1.0,0.0,0.0
satisfy,v,,positive,1.0,0.0,0.0
clam,n,,objective,0.0,0.0,1.0
caranx_crysos,n,,objective,0.0,0.0,1.0
a_hundred,a,,objective,0.0,0.0,1.0
gusto,n,,positive,1.0,0.0,0.0
cultivation,n,,positive,1.0,0.0,0.0
hillside,n,,objective,0.0,0.0,1.0
polish,n,,objective,0.0,0.0,1.0
articulatio_talocruralis,n,,objective,0.0,0.0,1.0
bureau,n,,objective,0.0,0.0,1.0
nonfigurative,a,,objective,0.0,0.0,1.0
overwhelm,v,,negative,0.0,0.25,0.75
adverse,a,,negative,0.0,1.0,0.0
primarily,r,,objective,0.0,0.0,1.0
approach,n,,objective,0.13,0.13,0.74
activate,v,,objective,0.0,0.0,1.0
baseball_game,n,,objective,0.0,0.0,1.0
yelp,n,,objective,0.0,0.0,1.0
unsloped,a,,objective,0.0,0.0,1.0
node,n,,objective,0.0,0.0,1.0
soh,n,,objective,0.0,0.0,1.0
unwitting,a,,negative,0.0,1.0,0.0
benevolent,a,,positive,1.0,0.0,0.0
demand,v,,objective,0.0,0.0,1.0
fantastic,a,,positive,1.0,0.0,0.0
gallant,a,,positive,1.0,0.0,0.0
taking_into_custody,n,,objective,0.13,0.13,0.74
mesh,v,,objective,0.0,0.0,1.0
libelous,a,,negative,0.0,1.0,0.0
raise,v,,positive,1.0,0.0,0.0
dreary,a,,negative,0.0,1.0,0.0
reminder,n,,positive,0.25,0.0,0.75
inflexible,a,,negative,0.0,1.0,0.0
knowing,a,,positive,0.5,0.0,0.5
dressing_table,n,,objective,0.0,0.0,1.0
unexpected,a,,objective,0.25,0.25,0.5
deride,v,,negative,0.0,0.75,0.25
kick,v,,objective,0.0,0.0,1.0
offer,v,,positive,0.75,0.0,0.25
harmful,a,,negative,0.0,1.0,0.0
zest,v,,objective,0.0,0.0,1.0
term,n,,objective,0.0,0.0,1.0
far-famed,a,,positive,1.0,0.0,0.0
nuptials,n,,objective,0.0,0.0,1.0
protrude,v,,objective,0.0,0.0,1.0
export,v,,objective,0.0,0.0,1.0
give_voice,v,,objective,0.0,0.0,1.0
talk_terms,v,,objective,0.0,0.0,1.0
hawaii,n,,objective,0.0,0.0,1.0
mainly,r,,objective,0.0,0.0,1.0
humble,a,,negative,0.0,0.25,0.75
tabloid,n,,objective,0.0,0.0,1.0
descent,n,,objective,0.0,0.0,1.0
violet,a,,objective,0.0,0.0,1.0
imperative_mood,n,,objective,0.0,0.0,1.0
traffic_circle,n,,objective,0.0,0.0,1.0
investiture,n,,objective,0.0,0.0,1.0
parentage,n,,objective,0.0,0.0,1.0
out-of-date,a,,negative,0.0,0.25,0.75
desolate,v,,negative,0.0,1.0,0.0
union,a,,objective,0.0,0.0,1.0
beyond,r,,objective,0.0,0.0,1.0
keep,n,,objective,0.0,0.0,1.0
aloha_state,n,,objective,0.0,0.0,1.0
arc,n,,objective,0.0,0.0,1.0
in_order,a,,positive,0.5,0.0,0.5
thump,n,,objective,0.0,0.0,1.0
stinky,a,,negative,0.0,1.0,0.0
dumbfound,v,,negative,0.0,0.75,0.25
purple,n,,objective,0.0,0.0,1.0
still,a,,objective,0.0,0.0,1.0
charge,n,,positive,1.0,0.0,0.0
illegitimate_child,n,,negative,0.0,1.0,0.0
leger,n,,objective,0.0,0.0,1.0
sham,v,,negative,0.0,1.0,0.0
ballock,n,,objective,0.0,0.0,1.0
get_on,v,,positive,1.0,0.0,0.0
extraction,n,,objective,0.0,0.0,1.0
beneficent,a,,positive,1.0,0.0,0.0
revivify,v,,positive,1.0,0.0,0.0
pot_liquor,n,,objective,0.0,0.0,1.0
uniform,a,,objective,0.0,0.0,1.0
atrophy,n,,negative,0.0,1.0,0.0
mass_murder,n,,negative,0.0,1.0,0.0
nuzzle,v,,positive,0.25,0.0,0.75
polish,v,,positive,1.0,0.0,0.0
proctor,n,,objective,0.0,0.0,1.0
winding-sheet,n,,objective,0.0,0.0,1.0
circuit,n,,objective,0.0,0.0,1.0
stephen_collins_foster,n,,objective,0.0,0.0,1.0
arch,n,,objective,0.0,0.0,1.0
guest,n,,objective,0.0,0.0,1.0
together,a,,positive,1.0,0.0,0.0
actuate,v,,objective,0.0,0.0,1.0
mongrel,n,,negative,0.0,1.0,0.0
question,v,,negative,0.0,0.25,0.75
criminal,a,,negative,0.0,1.0,0.0
union_soldier,n,,objective,0.0,0.0,1.0
collectively,r,,objective,0.0,0.0,1.0
ratio,n,,objective,0.0,0.0,1.0
monitor_lizard,n,,objective,0.0,0.0,1.0
turn_down,v,,negative,0.0,1.0,0.0
apprehension,n,,objective,0.13,0.13,0.74
bed_sheet,n,,objective,0.0,0.0,1.0
substantial,a,,objective,0.0,0.0,1.0
lofty,a,,positive,1.0,0.0,0.0
ocean,n,,objective,0.0,0.0,1.0
difficulty,n,,negative,0.0,1.0,0.0
disbursement,n,,objective,0.0,0.0,1.0
ledger,n,,objective,0.0,0.0,1.0
theoretical,a,,objective,0.0,0.0,1.0
wonder,n,,positive,1.0,0.0,0.0
guilty_conscience,n,,negative,0.0,1.0,0.0
wise_to,a,,positive,0.5,0.0,0.5
optimum,a,,positive,1.0,0.0,0.0
assuage,v,,positive,1.0,0.0,0.0
eleemosynary,a,,positive,1.0,0.0,0.0
dollar_sign,n,,negative,0.0,0.25,0.75
gracious,a,,positive,1.0,0.0,0.0
chunk,n,,objective,0.0,0.0,1.0
perceivable,a,,positive,0.25,0.0,0.75
thud,n,,objective,0.0,0.0,1.0
bathe,n,,objective,0.0,0.0,1.0
affirmation,n,,objective,0.0,0.0,1.0
sheet,v,,negative,0.0,0.25,0.75
wasting,n,,negative,0.0,1.0,0.0
rush,n,,positive,1.0,0.0,0.0
killer_whale,n,,objective,0.0,0.0,1.0
imperative,n,,objective,0.0,0.0,1.0
untoward,a,,negative,0.0,1.0,0.0
abandon,v,,negative,0.0,1.0,0.0
corn_whisky,n,,objective,0.0,0.0,1.0
sexual_relation,n,,objective,0.0,0.0,1.0
true,a,,positive,1.0,0.0,0.0
olympian,a,,positive,1.0,0.0,0.0
submerge,v,,negative,0.0,0.25,0.75
nurture,n,,objective,0.0,0.0,1.0
investigator,n,,objective,0.0,0.0,1.0
lineage,n,,objective,0.0,0.0,1.0
lap,n,,objective,0.0,0.0,1.0
wherefore,n,,objective,0.0,0.0,1.0
round,v,,positive,1.0,0.0,0.0
real_number,n,,objective,0.0,0.0,1.0
john_barleycorn,n,,objective,0.0,0.0,1.0
fed,n,,objective,0.0,0.0,1.0
tea_cosy,n,,objective,0.0,0.0,1.0
exportation,n,,objective,0.0,0.0,1.0
ignorant,a,,negative,0.0,0.75,0.25
advanced,a,,objective,0.0,0.0,1.0
conciliation,n,,positive,0.75,0.0,0.25
celebrated,a,,positive,1.0,0.0,0.0
in_agreement,r,,positive,0.25,0.0,0.75
hand_clapping,n,,positive,0.5,0.0,0.5
spice_up,v,,objective,0.0,0.0,1.0
dollar_bill,n,,objective,0.0,0.0,1.0
get,v,,negative,0.0,0.75,0.25
source,n,,objective,0.0,0.0,1.0
unconstraint,n,,negative,0.0,0.75,0.25
real,a,,objective,0.0,0.0,1.0
science,n,,objective,0.0,0.0,1.0
desolate,a,,negative,0.0,1.0,0.0
100,a,,objective,0.0,0.0,1.0
reject,v,,negative,0.0,1.0,0.0
set_off,v,,objective,0.0,0.0,1.0
tea_cozy,n,,objective,0.0,0.0,1.0
perforate,v,,objective,0.0,0.0,1.0
investment_funds,n,,objective,0.0,0.0,1.0
bath,v,,objective,0.0,0.0,1.0
origin,n,,objective,0.0,0.0,1.0
motionless,a,,objective,0.0,0.0,1.0
unknowing,a,,negative,0.0,1.0,0.0
draw_close,v,,positive,0.25,0.0,0.75
in_concert,r,,positive,0.25,0.0,0.75
dedicate,v,,objective,0.0,0.0,1.0
view,v,,objective,0.0,0.0,1.0
put_away,v,,objective,0.13,0.13,0.74
chuck_out,v,,objective,0.13,0.13,0.74
fancy,v,,objective,0.0,0.0,1.0
transom_window,n,,objective,0.0,0.0,1.0
murder,n,,negative,0.0,1.0,0.0
capable,a,,positive,1.0,0.0,0.0
ankle_joint,n,,objective,0.0,0.0,1.0
spark,v,,objective,0.0,0.0,1.0
cynical,a,,negative,0.0,1.0,0.0
renovate,v,,positive,1.0,0.0,0.0
conjointly,r,,objective,0.0,0.0,1.0
musical_rhythm,n,,objective,0.0,0.0,1.0
electrostatic,a,,objective,0.0,0.0,1.0
flowerpot,n,,objective,0.0,0.0,1.0
perplex,v,,negative,0.0,0.75,0.25
sweet,a,,objective,0.0,0.0,1.0
reprehensible,a,,negative,0.0,1.0,0.0
cook,v,,negative,0.0,1.0,0.0
spurn,v,,negative,0.0,1.0,0.0
one_by_one,r,,objective,0.0,0.0,1.0
computed_axial_tomography,n,,objective,0.0,0.0,1.0
contradiction,n,,objective,0.0,0.0,1.0
shark,n,,objective,0.0,0.0,1.0
incautious,a,,negative,0.0,0.75,0.25
excitation,n,,objective,0.38,0.38,0.24
researcher,n,,objective,0.0,0.0,1.0
destroy,v,,negative,0.0,1.0,0.0
cognition,n,,objective,0.0,0.0,1.0
underscore,v,,objective,0.13,0.13,0.74
fault,n,,negative,0.0,1.0,0.0
professional_dancer,n,,objective,0.0,0.0,1.0
corn,n,,objective,0.0,0.0,1.0
root,n,,objective,0.0,0.0,1.0
underline,v,,objective,0.13,0.13,0.74
sparkle,v,,objective,0.0,0.0,1.0
puzzle,v,,negative,0.0,0.75,0.25
pliant,a,,positive,1.0,0.0,0.0
culture,n,,positive,1.0,0.0,0.0
hearten,v,,positive,1.0,0.0,0.0
nurture,v,,positive,0.5,0.0,0.5
acquit,v,,objective,0.0,0.0,1.0
wheat,n,,objective,0.0,0.0,1.0
fake,v,,negative,0.0,1.0,0.0
ensnarl,v,,negative,0.0,0.5,0.5
exact,a,,positive,0.25,0.0,0.75
practiced,a,,positive,1.0,0.0,0.0
can,n,,objective,0.0,0.0,1.0
repair,v,,positive,1.0,0.0,0.0
trouble,v,,negative,0.0,1.0,0.0
iron_heel,n,,negative,0.0,0.5,0.5
true_cat,n,,objective,0.0,0.0,1.0
guilt_trip,n,,negative,0.0,1.0,0.0
nest,v,,objective,0.0,0.0,1.0
charles_frederick_worth,n,,objective,0.0,0.0,1.0
unqualified,a,,negative,0.0,0.5,0.5
investing,n,,objective,0.0,0.0,1.0
cosy,n,,objective,0.0,0.0,1.0
cause_of_death,n,,negative,0.0,1.0,0.0
heroism,n,,positive,1.0,0.0,0.0
plane,n,,objective,0.0,0.0,1.0
thrill,n,,positive,1.0,0.0,0.0
go_on,v,,objective,0.0,0.0,1.0
mary_jane,n,,objective,0.0,0.0,1.0
set,n,,objective,0.0,0.0,1.0
good-humoured,a,,positive,1.0,0.0,0.0
ball,v,,objective,0.0,0.0,1.0
vanity,n,,objective,0.0,0.0,1.0
very,r,,objective,0.0,0.0,1.0
then,r,,objective,0.0,0.0,1.0
polish_up,v,,positive,1.0,0.0,0.0
amaze,v,,negative,0.0,0.75,0.25
saving,n,,positive,1.0,0.0,0.0
permutation,n,,objective,0.0,0.0,1.0
unspoiled,a,,positive,1.0,0.0,0.0
desirable,a,,positive,1.0,0.0,0.0
contrive,v,,objective,0.0,0.0,1.0
misanthropical,a,,negative,0.0,1.0,0.0
snap,n,,objective,0.0,0.0,1.0
understandable,a,,positive,0.25,0.0,0.75
involvement,n,,positive,0.5,0.0,0.5
average,n,,objective,0.0,0.0,1.0
how_come,r,,objective,0.0,0.0,1.0
term,v,,objective,0.0,0.0,1.0
unlearned,a,,negative,0.0,0.75,0.25
cheerful,a,,positive,1.0,0.0,0.0
volunteer,v,,positive,0.25,0.0,0.75
placation,n,,positive,0.75,0.0,0.25
investment,n,,objective,0.0,0.0,1.0
kicking,n,,objective,0.0,0.0,1.0
mesh_topology,n,,objective,0.0,0.0,1.0
crump,v,,objective,0.0,0.0,1.0
dishearten,v,,negative,0.0,1.0,0.0
prosperity,n,,positive,1.0,0.0,0.0
prosper,v,,positive,1.0,0.0,0.0
anguish,n,,negative,0.0,1.0,0.0
applause,n,,positive,0.5,0.0,0.5
sincere,a,,positive,1.0,0.0,0.0
minatory,a,,negative,0.0,1.0,0.0
bowl,n,,objective,0.0,0.0,1.0
shambles,n,,objective,0.0,0.0,1.0
beat,v,,negative,0.0,0.75,0.25
put_off,v,,negative,0.0,1.0,0.0
zest,n,,positive,1.0,0.0,0.0
refine,v,,positive,0.25,0.0,0.75
empty,v,,objective,0.0,0.0,1.0
thump,v,,objective,0.0,0.0,1.0
authorities,n,,objective,0.0,0.0,1.0
toilet,n,,objective,0.0,0.0,1.0
optimal,a,,positive,1.0,0.0,0.0
horrible,a,,negative,0.0,1.0,0.0
raise_up,v,,negative,0.0,0.25,0.75
gage,n,,objective,0.0,0.0,1.0
gloomy,a,,negative,0.0,1.0,0.0
famed,a,,positive,1.0,0.0,0.0
bring_up,v,,objective,0.0,0.0,1.0
computerized_tomography,n,,objective,0.0,0.0,1.0
polish,a,,objective,0.0,0.0,1.0
angelic,a,,positive,1.0,0.0,0.0
waste,v,,negative,0.0,1.0,0.0
pall,n,,objective,0.0,0.0,1.0
thorax,n,,objective,0.0,0.0,1.0
commode,n,,objective,0.0,0.0,1.0
elastic,a,,positive,1.0,0.0,0.0
test,n,,objective,0.0,0.0,1.0
misbegot,a,,negative,0.0,1.0,0.0
phrase,v,,objective,0.0,0.0,1.0
presumptively,r,,objective,0.0,0.0,1.0
on_the_far_side,r,,objective,0.0,0.0,1.0
negociate,v,,objective,0.0,0.0,1.0
in_collaboration,r,,positive,0.25,0.0,0.75
trap,n,,objective,0.0,0.0,1.0
grandeur,n,,positive,1.0,0.0,0.0
sombre,a,,negative,0.0,0.25,0.75
facilitate,v,,positive,1.0,0.0,0.0
gain,v,,objective,0.0,0.0,1.0
afters,n,,objective,0.0,0.0,1.0
contrabandist,n,,negative,0.0,1.0,0.0
project,n,,objective,0.0,0.0,1.0
nestle,v,,positive,0.25,0.0,0.75
courtship,n,,positive,0.75,0.0,0.25
cerement,n,,objective,0.0,0.0,1.0
worry,v,,objective,0.0,0.0,1.0
arch,v,,objective,0.0,0.0,1.0
storm,n,,negative,0.0,1.0,0.0
unitedly,r,,positive,0.25,0.0,0.75
cameroun,n,,objective,0.0,0.0,1.0
rise,n,,objective,0.13,0.13,0.74
both,a,,objective,0.0,0.0,1.0
take_in,v,,objective,0.0,0.0,1.0
runner,n,,negative,0.0,1.0,0.0
mutilate,v,,negative,0.0,1.0,0.0
yelping,n,,objective,0.0,0.0,1.0
sol,n,,objective,0.0,0.0,1.0
catch,n,,objective,0.0,0.0,1.0
butchery,n,,objective,0.0,0.0,1.0
hi,n,,objective,0.0,0.0,1.0
egg,n,,objective,0.0,0.0,1.0
son_of_a_bitch,n,,negative,0.0,1.0,0.0
misbegotten,a,,negative,0.0,1.0,0.0
labor,n,,objective,0.0,0.0,1.0
yearn,v,,objective,0.375,0.375,0.25
meshing,n,,objective,0.0,0.0,1.0
switch,n,,objective,0.0,0.0,1.0
idiomatic_expression,n,,objective,0.0,0.0,1.0
federal,a,,objective,0.0,0.0,1.0
replacement,n,,objective,0.0,0.0,1.0
monitor,n,,objective,0.0,0.0,1.0
offset,n,,objective,0.0,0.0,1.0
elevate,v,,positive,1.0,0.0,0.0
relation,n,,objective,0.0,0.0,1.0
burning,n,,objective,0.0,0.0,1.0
safety,n,,objective,0.0,0.0,1.0
obsolete,a,,negative,0.0,0.25,0.75
bathe,v,,objective,0.0,0.0,1.0
recreate,v,,positive,1.0,0.0,0.0
unbending,a,,negative,0.0,1.0,0.0
sexual_congress,n,,objective,0.0,0.0,1.0
set_phrase,n,,objective,0.0,0.0,1.0
peppery,a,,objective,0.0,0.0,1.0
ride_herd_on,v,,objective,0.125,0.125,0.75
spirits,n,,objective,0.0,0.0,1.0
mineworker,n,,objective,0.0,0.0,1.0
worthy,a,,positive,1.0,0.0,0.0
love_child,n,,negative,0.0,1.0,0.0
cellular_phone,n,,objective,0.0,0.0,1.0
collaborate,v,,negative,0.0,1.0,0.0
snatch,n,,objective,0.0,0.0,1.0
c,a,,objective,0.0,0.0,1.0
cozey,n,,objective,0.0,0.0,1.0
untrusty,a,,negative,0.0,1.0,0.0
semantic,a,,objective,0.0,0.0,1.0
toilet_table,n,,objective,0.0,0.0,1.0
and_then,r,,objective,0.0,0.0,1.0
comport,v,,objective,0.0,0.0,1.0
slayer,n,,negative,0.0,1.0,0.0
dame_muriel_spark,n,,objective,0.0,0.0,1.0
manipulate,v,,negative,0.0,1.0,0.0
trap,v,,negative,0.0,0.25,0.75
despise,v,,negative,0.0,1.0,0.0
marvel,v,,positive,1.0,0.0,0.0
so,r,,objective,0.0,0.0,1.0
phrase,n,,objective,0.0,0.0,1.0
torment,n,,negative,0.0,1.0,0.0
worth,n,,objective,0.0,0.0,1.0
bounce,v,,objective,0.0,0.0,1.0
wantonness,n,,negative,0.0,0.75,0.25
subsequent,a,,objective,0.0,0.0,1.0
contemn,v,,negative,0.0,1.0,0.0
spicy,a,,objective,0.0,0.0,1.0
undertaking,n,,objective,0.0,0.0,1.0
testis,n,,objective,0.0,0.0,1.0
revert,v,,objective,0.0,0.0,1.0
misbehaviour,n,,negative,0.0,1.0,0.0
line,n,,objective,0.0,0.0,1.0
operate,v,,objective,0.0,0.0,1.0
aloud,r,,objective,0.0,0.0,1.0
loudly,r,,objective,0.0,0.0,1.0
literal,a,,objective,0.25,0.25,0.5
knock_off,v,,negative,0.0,1.0,0.0
marvelous,a,,positive,1.0,0.0,0.0
considered,a,,positive,0.5,0.0,0.5
rhythm,n,,objective,0.0,0.0,1.0
orca,n,,objective,0.0,0.0,1.0
fly_high,v,,positive,1.0,0.0,0.0
catch,v,,objective,0.0,0.0,1.0
arc,v,,objective,0.0,0.0,1.0
inferno,n,,negative,0.0,1.0,0.0
threatening,a,,negative,0.0,1.0,0.0
jointly,r,,objective,0.0,0.0,1.0
snuggle,v,,positive,0.25,0.0,0.75
endorse,v,,objective,0.0,0.0,1.0
affair,n,,objective,0.0,0.0,1.0
hymeneals,n,,objective,0.0,0.0,1.0
sens,n,,objective,0.0,0.0,1.0
examination,n,,objective,0.0,0.0,1.0
rearing,n,,objective,0.0,0.0,1.0
overwhelming,a,,objective,0.38,0.38,0.24
blue_runner,n,,objective,0.0,0.0,1.0
skilful,a,,positive,1.0,0.0,0.0
copulation,n,,objective,0.0,0.0,1.0
rotary,n,,objective,0.0,0.0,1.0
expert,a,,positive,1.0,0.0,0.0
rigid,a,,negative,0.0,1.0,0.0
judgment,n,,objective,0.0,0.0,1.0
fake,a,,negative,0.0,1.0,0.0
resile,v,,objective,0.0,0.0,1.0
confrontation,n,,objective,0.0,0.0,1.0
thing,n,,objective,0.375,0.375,0.25
moon_curser,n,,negative,0.0,1.0,0.0
norm,n,,objective,0.0,0.0,1.0
unentitled,a,,negative,0.0,0.5,0.5
guilt_feelings,n,,negative,0.0,1.0,0.0
sea_wolf,n,,objective,0.0,0.0,1.0
spice,v,,objective,0.0,0.0,1.0
slanderous,a,,negative,0.0,1.0,0.0
terminus,n,,objective,0.0,0.0,1.0
100,n,,objective,0.0,0.0,1.0
assumptive,a,,negative,0.0,1.0,0.0
commove,v,,negative,0.0,0.25,0.75
take,v,,objective,0.125,0.125,0.75
dollar,n,,negative,0.0,0.25,0.75
outline,n,,objective,0.0,0.0,1.0
call_for,v,,objective,0.125,0.125,0.75
traverse,n,,objective,0.0,0.0,1.0
whoreson,n,,negative,0.0,1.0,0.0
worthiness,n,,positive,1.0,0.0,0.0
mystify,v,,negative,0.0,0.75,0.25
suitable,a,,positive,1.0,0.0,0.0
